URL,HasAt,URLLen,URLDepth,Redirection,domainType,ShortURL,OddChar,numPer,HasIP,Web_Traffic,DomainAge,Text,Label
http://1337x.to/torrent/1110018/Blackhat-2015-RUSSIAN-720p-WEB-DL-DD5-1-H264-RUFGT/,0,83,5,0,0,0,17,1,0,1,0,0,0
http://1337x.to/torrent/1122940/Blackhat-2015-x264-1080p-WEB-DL-eng-nl-subs-sharky/,0,83,5,0,0,0,17,1,0,1,0,0,0
http://1337x.to/torrent/1124395/Fast-and-Furious-7-2015-HD-TS-XVID-AC3-HQ-Hive-CM8/,0,83,5,0,0,0,19,1,0,1,0,0,0
http://1337x.to/torrent/1145504/Avengers-Age-of-Ultron-2015-CAM-New-Audio-x264-CPG/,0,83,5,0,0,0,17,1,0,1,0,0,0
http://1337x.to/torrent/1160078/Avengers-age-of-Ultron-2015-HQ-CAM-H264-AC3-MURD3R/,0,83,5,0,0,0,17,1,0,1,0,0,0
http://1337x.to/torrent/294349/American-Idol-S11E04-Auditions-4-HDTV-XviD-FQM-ettv/,0,83,5,0,0,0,16,1,0,1,0,0,0
http://189.cn/dqmh/userCenter/myOrderInfoList.do?method=listMyOrderInfo_new&isVs=no,0,83,4,0,0,0,13,2,0,1,0,0,0
http://2gis.ru/moscow/search/%D0%9F%D0%BE%D0%B5%D1%81%D1%82%D1%8C/tab/firms/zoom/11,0,83,8,0,0,0,23,1,0,1,0,0,0
http://abc.go.com/shows/general-hospital/episode-guide/2015-05/08-friday-may-8-2015,0,83,6,0,0,0,17,2,0,1,0,0,0
http://abc.go.com/shows/the-muppets/video/new-abc-comedy-trailers?cid=abchp_muppets,0,83,5,0,0,0,16,2,0,1,0,0,0
http://abcnews.go.com/US/wireStory/regulators-delays-georgia-nuclear-plant-31020059,0,83,4,0,0,0,13,2,0,1,0,0,0
http://adultfriendfinder.com/css/live_cd/ffadult/english/0/font_face-1427390957.css,0,83,7,0,0,0,14,2,0,1,1,0,0
http://akhbarelyom.com/news/newdetails/410322/1/%D8%A8%D9%88%D8%B6%D9%88%D8%AD.html,0,83,6,0,0,0,20,2,0,1,1,0,0
http://allegro.pl/amadeus-quartet-haydn-string-quartets-collectors-i5207998383.html,0,83,2,0,0,0,12,2,0,1,0,0,0
http://allegro.pl/narzedzia-i-sprzet-warsztatowy-18554?ref=simplified-category-tree,0,83,2,0,0,0,13,1,0,1,0,0,0
http://allegro.pl/royal-string-quartet-music-for-string-quartet-cd-i5262876831.html,0,83,2,0,0,0,14,2,0,1,0,0,0
http://allegro.pl/sexy-g-string-stringi-z-koralikami-must-have-uni-i5039087215.html,0,83,2,0,0,0,15,2,0,1,0,0,0
http://allegro.pl/sporty-strzeleckie-i-myslistwo-13495?ref=simplified-category-tree,0,83,2,0,0,0,13,1,0,1,0,0,0
http://allegro.pl/sporty-towarzyskie-i-rekreacja-13408?ref=simplified-category-tree,0,83,2,0,0,0,13,1,0,1,0,0,0
http://allegro.pl/triumph-miss-sexy-allday-string-stringi-36-s-bez-i4855636396.html,0,83,2,0,0,0,15,2,0,1,0,0,0
http://allegro.pl/triumph-stringi-exquisite-essence-string-stal-38-i5073330901.html,0,83,2,0,0,0,13,2,0,1,0,0,0
http://allegro.pl/wyszczuplajace-body-string-pod-biust-jony-srebra-i5124700240.html,0,83,2,0,0,0,13,2,0,1,0,0,0
http://allrecipes.com/Features/Menu-Planner-2.aspx?lnkid=arm1001&soid=toprightmerch,0,83,3,0,0,0,13,2,0,1,1,0,0
http://allrecipes.com/Recipe/Chef-Johns-French-Toast/Detail.aspx?soid=recs_recipe_3,0,83,4,0,0,0,15,2,0,1,1,0,0
http://allrecipes.com/Recipe/Fluffy-Pancakes-2/Detail.aspx?evt19=1&referringHubId=1,0,83,4,0,0,0,14,2,0,1,1,0,0
http://allrecipes.com/Recipe/Maple-Cookies/Detail.aspx?evt19=1&referringHubId=15041,0,83,4,0,0,0,13,2,0,1,1,0,0
